date,year_of,month_of,sname,birth,sex,grp,stime,min,age_sample,activity
2000-01-07,2000,Jan,WAD,1993-09-02,Female,2.1,17:40:00,8,6.346338124572211,Rest
2000-01-07,2000,Jan,WAD,1993-09-02,Female,2.1,17:40:00,9,6.346338124572211,Rest
2000-01-07,2000,Jan,WAD,1993-09-02,Female,2.1,17:40:00,10,6.346338124572211,Rest
2000-01-07,2000,Jan,NAP,1994-02-01,Female,2.1,17:50:00,1,5.930184804928132,Walk
2000-01-07,2000,Jan,NAP,1994-02-01,Female,2.1,17:50:00,2,5.930184804928132,Groom
2000-01-07,2000,Jan,NAP,1994-02-01,Female,2.1,17:50:00,3,5.930184804928132,Walk
2000-01-07,2000,Jan,WEM,1982-04-24,Female,2.1,18:01:00,1,17.7056810403833,Rest
2000-01-07,2000,Jan,WEM,1982-04-24,Female,2.1,18:01:00,2,17.7056810403833,Walk
2000-01-07,2000,Jan,WEM,1982-04-24,Female,2.1,18:01:00,3,17.7056810403833,Rest
2000-01-07,2000,Jan,WEM,1982-04-24,Female,2.1,18:01:00,4,17.7056810403833,Feed
2000-01-07,2000,Jan,WEM,1982-04-24,Female,2.1,18:01:00,5,17.7056810403833,Walk
2000-01-07,2000,Jan,WEM,1982-04-24,Female,2.1,18:01:00,6,17.7056810403833,Feed
2000-01-08,2000,Jan,OMO,1983-07-25,Female,1.21,08:20:00,1,16.45722108145106,Walk
2000-01-08,2000,Jan,OMO,1983-07-25,Female,1.21,08:20:00,2,16.45722108145106,Walk
2000-01-08,2000,Jan,OMO,1983-07-25,Female,1.21,08:20:00,3,16.45722108145106,Walk
2000-01-08,2000,Jan,OMO,1983-07-25,Female,1.21,08:20:00,4,16.45722108145106,Walk
2000-01-08,2000,Jan,OMO,1983-07-25,Female,1.21,08:20:00,5,16.45722108145106,Walk
2000-01-08,2000,Jan,OMO,1983-07-25,Female,1.21,08:20:00,6,16.45722108145106,Walk
2000-01-08,2000,Jan,OMO,1983-07-25,Female,1.21,08:20:00,7,16.45722108145106,Walk
2000-01-08,2000,Jan,OMO,1983-07-25,Female,1.21,08:20:00,8,16.45722108145106,Walk
2000-01-08,2000,Jan,OMO,1983-07-25,Female,1.21,08:20:00,9,16.45722108145106,Walk
2000-01-08,2000,Jan,OFR,1992-01-11,Female,1.21,08:30:00,1,7.991786447638604,Rest
2000-01-08,2000,Jan,OFR,1992-01-11,Female,1.21,08:30:00,2,7.991786447638604,Feed
2000-01-08,2000,Jan,OFR,1992-01-11,Female,1.21,08:30:00,3,7.991786447638604,Feed
2000-01-08,2000,Jan,OFR,1992-01-11,Female,1.21,08:30:00,4,7.991786447638604,Walk
2000-01-08,2000,Jan,OFR,1992-01-11,Female,1.21,08:30:00,5,7.991786447638604,Feed
2000-01-08,2000,Jan,OFR,1992-01-11,Female,1.21,08:30:00,6,7.991786447638604,Feed
2000-01-08,2000,Jan,OFR,1992-01-11,Female,1.21,08:30:00,7,7.991786447638604,Feed
2000-01-08,2000,Jan,OFR,1992-01-11,Female,1.21,08:30:00,8,7.991786447638604,Feed
2000-01-08,2000,Jan,ASH,1992-01-09,Female,1.21,09:13:00,1,7.997262149212868,Feed
2000-01-08,2000,Jan,ASH,1992-01-09,Female,1.21,09:13:00,2,7.997262149212868,Feed
2000-01-08,2000,Jan,ASH,1992-01-09,Female,1.21,09:13:00,3,7.997262149212868,Walk
2000-01-08,2000,Jan,ASH,1992-01-09,Female,1.21,09:13:00,4,7.997262149212868,Feed
2000-01-08,2000,Jan,ASH,1992-01-09,Female,1.21,09:13:00,5,7.997262149212868,Feed
2000-01-08,2000,Jan,ASH,1992-01-09,Female,1.21,09:13:00,6,7.997262149212868,Feed
2000-01-08,2000,Jan,ASH,1992-01-09,Female,1.21,09:13:00,7,7.997262149212868,Walk
2000-01-08,2000,Jan,ASH,1992-01-09,Female,1.21,09:13:00,8,7.997262149212868,Feed
2000-01-08,2000,Jan,ASH,1992-01-09,Female,1.21,09:13:00,10,7.997262149212868,Rest
2000-01-08,2000,Jan,OST,1992-01-10,Female,1.21,09:24:00,1,7.994524298425736,Feed
